   Time                        u                   v                   w                  p                      q                      r                  x_f                     y_f                   z_f                   e_0                   e_x                   e_y                   e_z 
  3.900000000000e+00   9.955730459445e+01   0.000000000000e+00   1.244601523724e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.892120561960e+02   0.000000000000e+00   5.975707150905e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.000000000000e+00   9.954215943134e+01   0.000000000000e+00   1.276400213888e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.991670314077e+02   0.000000000000e+00   5.974446649380e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.100000000000e+00   9.952677171307e+01   0.000000000000e+00   1.308190926539e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.091204799970e+02   0.000000000000e+00   5.973154353137e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.200000000000e+00   9.951113889035e+01   0.000000000000e+00   1.339973472048e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.190723775801e+02   0.000000000000e+00   5.971830270249e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.300000000000e+00   9.949525850357e+01   0.000000000000e+00   1.371747659499e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.290226995228e+02   0.000000000000e+00   5.970474408979e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.400000000000e+00   9.947912817773e+01   0.000000000000e+00   1.403513296735e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.389714209494e+02   0.000000000000e+00   5.969086777780e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.500000000000e+00   9.946274561756e+01   0.000000000000e+00   1.435270190390e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.489185167504e+02   0.000000000000e+00   5.967667385300e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.600000000000e+00   9.944610860296e+01   0.000000000000e+00   1.467018145928e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.588639615910e+02   0.000000000000e+00   5.966216240379e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.700000000000e+00   9.942921498464e+01   0.000000000000e+00   1.498756967672e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.688077299175e+02   0.000000000000e+00   5.964733352052e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.800000000000e+00   9.941206267996e+01   0.000000000000e+00   1.530486458827e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.787497959649e+02   0.000000000000e+00   5.963218729553e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
