  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  3.200000000000e+00   2.190982374268e+02   9.443973030660e-09   1.100345344532e-02  -8.321035503961e-11  -4.936437494251e-08  -5.804953311056e-11   3.526891493744e-02  -1.048842651171e-09  -5.477034581582e+03   7.071067980808e-01  -3.586495625233e-11   7.071067642923e-01  -8.985742457159e-13   8.999711906560e+01
  3.300000000000e+00   2.190414424376e+02   1.044943904582e-08   1.100158282381e-02  -9.426003499480e-11  -5.264388846806e-08  -6.172299399092e-11   3.637026956215e-02  -1.258419392377e-09  -5.498941579800e+03   7.071067998839e-01  -4.111715774915e-11   7.071067624892e-01   1.187608188608e-13   8.999711858908e+01
  3.400000000000e+00   2.189829417740e+02   1.150170456778e-08   1.099962312575e-02  -1.061574216019e-10  -5.599076457687e-08  -6.534176558776e-11   3.747154768996e-02  -1.499928417703e-09  -5.520842813214e+03   7.071068018041e-01  -4.690397232511e-11   7.071067605690e-01   1.412784337430e-12   8.999711802752e+01
  3.500000000000e+00   2.189227380180e+02   1.259765311918e-08   1.099757435686e-02  -1.188994340486e-10  -5.940094574160e-08  -6.888888471155e-11   3.857274766883e-02  -1.776679377868e-09  -5.542738111385e+03   7.071068038438e-01  -5.325309541881e-11   7.071067585293e-01   3.015669727297e-12   8.999711739995e+01
  3.600000000000e+00   2.188608337583e+02   1.373388402452e-08   1.099543663015e-02  -1.324769441817e-10  -6.287055348386e-08  -7.234939371708e-11   3.967386798255e-02  -2.092141890718e-09  -5.564627304134e+03   7.071068060051e-01  -6.019144137767e-11   7.071067563680e-01   4.959939190156e-12   8.999711672297e+01
  3.700000000000e+00   2.187972315900e+02   1.490676646982e-08   1.099321015671e-02  -1.468749345785e-10  -6.639590281800e-08  -7.571054026732e-11   4.077490725196e-02  -2.449938405730e-09  -5.586510221540e+03   7.071068082901e-01  -6.774500674066e-11   7.071067540830e-01   7.278177860242e-12   8.999711623419e+01
  3.800000000000e+00   2.187319341148e+02   1.611249599270e-08   1.099089523665e-02  -1.620727468705e-10  -6.997351390635e-08  -7.896193235040e-11   4.187586423584e-02  -2.853836410250e-09  -5.608386693942e+03   7.071068107006e-01  -7.593874699719e-11   7.071067516725e-01   1.000274887663e-11   8.999711554207e+01
  3.900000000000e+00   2.186649439405e+02   1.734715233710e-08   1.098849225032e-02  -1.780444140968e-10  -7.360012110147e-08  -8.209564752580e-11   4.297673783123e-02  -3.307740121592e-09  -5.630256551939e+03   7.071068132385e-01  -8.479646830472e-11   7.071067491346e-01   1.316551406770e-11   8.999711488497e+01
  4.000000000000e+00   2.185962636815e+02   1.860675762317e-08   1.098600164972e-02  -1.947590694924e-10  -7.727267956095e-08  -8.510629627331e-11   4.407752707335e-02  -3.815681813609e-09  -5.652119626393e+03   7.071068159055e-01  -9.434073538238e-11   7.071067464676e-01   1.679756471127e-11   8.999711413495e+01
  4.100000000000e+00   2.185258959584e+02   1.988733381879e-08   1.098342395032e-02  -2.121814229417e-10  -8.098836963555e-08  -8.799104017336e-11   4.517823113528e-02  -4.381812928117e-09  -5.673975748426e+03   7.071068187030e-01  -1.045927965187e-10   7.071067436701e-01   2.092896653314e-11   8.999711342337e+01
