  Time[s]              u[ft/s]             v[ft/s]               w[ft/s]               p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                phi[rad]             theta[rad]             psi[rad]
  2.050000000000e-01   2.040136577739e+02   2.379579764312e+00   3.216848967200e+00   1.066871045609e+02  -1.417061448118e-01   6.728421121085e-02   4.232650585949e+01  -1.710139997558e-03  -8.034430244520e+00   1.943146280303e+01   7.512315017456e-02  -1.236513109192e-03
  2.100000000000e-01   2.038736956185e+02   3.690629134967e+00   1.540228501173e+00   1.066187732740e+02  -9.119433678603e-02   1.341225919940e-01   4.334486548588e+01  -1.863670830040e-03  -8.090673970820e+00   1.996471957102e+01   7.433391495372e-02  -1.347403352703e-03
  2.150000000000e-01   2.037380206298e+02   3.951145450562e+00  -5.698173108544e-01   1.065499008898e+02  -1.121930735516e-02   1.670756782774e-01   4.436258229473e+01  -2.024659921553e-03  -8.146079870980e+00   2.049763276099e+01   7.351883411596e-02  -1.464312289033e-03
  2.200000000000e-01   2.036012061414e+02   3.090090011074e+00  -2.508480348164e+00   1.064807211742e+02   7.707165951458e-02   1.544924623836e-01   4.537966358670e+01  -2.193146186514e-03  -8.200648859334e+00   2.103020049983e+01   7.267823168949e-02  -1.587295543951e-03
  2.250000000000e-01   2.034595183373e+02   1.359674248045e+00  -3.722938774892e+00   1.064109671040e+02   1.488429659285e-01   9.720908982461e-02   4.639609143490e+01  -2.369121093732e-03  -8.254379997631e+00   2.156242072127e+01   7.181246881778e-02  -1.716395836716e-03
  2.300000000000e-01   2.033148443715e+02  -7.394892783275e-01  -3.872268461887e+00   1.063403350599e+02   1.825957215164e-01   9.016446797029e-03   4.741184287941e+01  -2.552554224583e-03  -8.307272008161e+00   2.209428970320e+01   7.092194667246e-02  -1.851642619802e-03
  2.350000000000e-01   2.031726255967e+02  -2.605152655043e+00  -2.924538178782e+00   1.062689503962e+02   1.665905267326e-01  -8.663961360712e-02   4.842691520756e+01  -2.743438773008e-03  -8.359325087098e+00   2.262580317253e+01   7.000710287437e-02  -1.993048613022e-03
  2.400000000000e-01   2.030360810322e+02  -3.708539382440e+00  -1.163110187325e+00   1.061973487922e+02   1.027474336709e-01  -1.629429655195e-01   4.944132956764e+01  -2.941805186390e-03  -8.410541110057e+00   2.315695863512e+01   6.906840819344e-02  -2.140612777573e-03
  2.450000000000e-01   2.029028939478e+02  -3.746255461035e+00   8.988137966458e-01   1.061260075077e+02   6.763045035824e-03  -1.972737587116e-01   5.045510953927e+01  -3.147685696735e-03  -8.460922084633e+00   2.368775634916e+01   6.810636848443e-02  -2.294319419890e-03
  2.500000000000e-01   2.027678006413e+02  -2.724880139139e+00   2.669365983669e+00   1.060549335491e+02  -9.575521393471e-02  -1.779043798468e-01   5.146825777740e+01  -3.361063791899e-03  -8.510468547365e+00   2.421819786382e+01   6.712152124507e-02  -2.454135557039e-03
