  Time[s]              u[ft/s]             w[ft/s]               q[rad/s]             x[ft]                z[ft]                theta[rad]
  1.110000000000e+00   1.834151953245e+02   2.199289486679e+00  -2.198783715497e-01   2.167251470352e+02  -4.994472184136e+00  -8.349799837576e-02
  1.120000000000e+00   1.832358396489e+02   2.110998621242e+00  -2.236003146056e-01   2.185500220345e+02  -4.818077737212e+00  -8.571564696154e-02
  1.130000000000e+00   1.830580109343e+02   2.016611295180e+00  -2.270089816487e-01   2.203727981776e+02  -4.638669117149e+00  -8.796895990043e-02
  1.140000000000e+00   1.828816987265e+02   1.916725254568e+00  -2.300917675996e-01   2.221934852239e+02  -4.456249188071e+00  -9.025473979873e-02
  1.150000000000e+00   1.827068851862e+02   1.811957051945e+00  -2.328380110500e-01   2.240120929455e+02  -4.270820781031e+00  -9.256967291020e-02
  1.160000000000e+00   1.825335457377e+02   1.702938440718e+00  -2.352390130096e-01   2.258286310496e+02  -4.082386700060e+00  -9.491034867544e-02
  1.170000000000e+00   1.823616498177e+02   1.590312766281e+00  -2.372880450662e-01   2.276431091066e+02  -3.890949728573e+00  -9.727327939557e-02
  1.180000000000e+00   1.821911617034e+02   1.474731371849e+00  -2.389803471630e-01   2.294555364828e+02  -3.696512635980e+00  -9.965491993547e-02
  1.190000000000e+00   1.820220414015e+02   1.356850036489e+00  -2.403131152404e-01   2.312659222805e+02  -3.499078184350e+00  -1.020516873539e-01
  1.200000000000e+00   1.818542455768e+02   1.237325462364e+00  -2.412854790274e-01   2.330742752855e+02  -3.298649134985e+00  -1.044599803604e-01
  1.210000000000e+00   1.816877285003e+02   1.116811827619e+00  -2.418984703055e-01   2.348806039224e+02  -3.095228254728e+00  -1.068761985024e-01
  1.220000000000e+00   1.815224429967e+02   9.959574207680e-01  -2.421549820064e-01   2.366849162192e+02  -2.888818321873e+00  -1.092967609887e-01
  1.230000000000e+00   1.813583413721e+02   8.754013717615e-01  -2.420597185379e-01   2.384872197806e+02  -2.679422131531e+00  -1.117181250597e-01
  1.240000000000e+00   1.811953763045e+02   7.557704942486e-01  -2.416191377646e-01   2.402875217697e+02  -2.467042500314e+00  -1.141368038188e-01
  1.250000000000e+00   1.810335016786e+02   6.376762527590e-01  -2.408413851046e-01   2.420858288998e+02  -2.251682270250e+00  -1.165493834438e-01
  1.260000000000e+00   1.808726733533e+02   5.217118677481e-01  -2.397362202288e-01   2.438821474336e+02  -2.033344311810e+00  -1.189525397020e-01
  1.270000000000e+00   1.807128498461e+02   4.084495705611e-01  -2.383149368802e-01   2.456764831910e+02  -1.812031526016e+00  -1.213430536974e-01
  1.280000000000e+00   1.805539929253e+02   2.984380194596e-01  -2.365902763543e-01   2.474688415649e+02  -1.587746845555e+00  -1.237178267835e-01
  1.290000000000e+00   1.803960681018e+02   1.921998868667e-01  -2.345763352043e-01   2.492592275431e+02  -1.360493234916e+00  -1.260738945823e-01
  1.300000000000e+00   1.802390450145e+02   9.022962696019e-02  -2.322884677551e-01   2.510476457363e+02  -1.130273689542e+00  -1.284084400533e-01
  1.310000000000e+00   1.800828977050e+02  -7.008568335826e-03  -2.297431840269e-01   2.528341004118e+02  -8.970912340464e-01  -1.307188055646e-01
  1.320000000000e+00   1.799276047825e+02  -9.908261803185e-02  -2.269580436836e-01   2.546185955303e+02  -6.609489195634e-01  -1.330025039225e-01
  1.330000000000e+00   1.797731494783e+02  -1.855941996471e-01  -2.239515466309e-01   2.564011347867e+02  -4.218498203081e-01  -1.352572283234e-01
  1.340000000000e+00   1.796195195946e+02  -2.661801910779e-01  -2.207430208948e-01   2.581817216522e+02  -1.797970294684e-01  -1.374808611979e-01
