  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  2.200000000000e+00   2.195843969832e+02  -2.320920021195e-06   1.143785165128e-02   1.997366592611e-08   1.278694046100e-05   1.546308856046e-08   8.899759400974e-03  -1.818843810876e-07  -9.836943681933e+02   1.030827817232e-09   7.071372577764e-01  -7.800926058395e-09  -7.070763032831e-01   8.999796495731e+01
  2.300000000000e+00   2.195459885612e+02  -2.588339565902e-06   1.141477922931e-02   2.309814716509e-08   1.337218214094e-05   1.613299887827e-08   9.664165750192e-03  -2.279340030087e-07  -1.005650901465e+03   8.289110869934e-10   7.071377202667e-01  -9.120530188870e-09  -7.070758407526e-01   8.999788335858e+01
  2.400000000000e+00   2.195059040765e+02  -2.860138947699e-06   1.139978704154e-02   2.644168341209e-08   1.393051674191e-05   1.668695298799e-08   1.045947562789e-02  -2.823399206068e-07  -1.027603510068e+03   5.342533920444e-10   7.071382029737e-01  -1.057618099213e-08  -7.070753580031e-01   8.999780048537e+01
  2.500000000000e+00   2.194641461656e+02  -3.133498619850e-06   1.139178414403e-02   2.998407179674e-08   1.446141178486e-05   1.711852897738e-08   1.128613584475e-02  -3.460035748708e-07  -1.049552026529e+03   1.352344433037e-10   7.071387049356e-01  -1.217105638581e-08  -7.070748559962e-01   8.999771622476e+01
  2.600000000000e+00   2.194207174649e+02  -3.405567294503e-06   1.138973082565e-02   3.370134164259e-08   1.496463951566e-05   1.742391356387e-08   1.214463825672e-02  -4.198408477741e-07  -1.071496283635e+03  -3.791649601796e-10   7.071392251774e-01  -1.390737116182e-08  -7.070743357070e-01   8.999763048018e+01
  2.700000000000e+00   2.193756206118e+02  -3.673520226046e-06   1.139264199281e-02   3.756620582546e-08   1.544024637654e-05   1.760190774434e-08   1.303551395399e-02  -5.047741101252e-07  -1.093436114441e+03  -1.019144959858e-09   7.071397627210e-01  -1.578634404165e-08  -7.070737981136e-01   8.999754316623e+01
  2.800000000000e+00   2.193288582441e+02  -3.934615296329e-06   1.139958972134e-02   4.154858276924e-08   1.588852340707e-05   1.765387383644e-08   1.395932776064e-02  -6.017242940561e-07  -1.115371352262e+03  -1.793886763003e-09   7.071403165944e-01  -1.780818113287e-08  -7.070732441881e-01   8.999745421234e+01
  2.900000000000e+00   2.192804330011e+02  -4.186245725254e-06   1.140970504307e-02   4.561617432232e-08   1.630997773123e-05   1.758362824438e-08   1.491667305908e-02  -7.116031478970e-07  -1.137301830679e+03  -2.711375102246e-09   7.071408858397e-01  -1.997207602687e-08  -7.070726748884e-01   8.999736355942e+01
  3.000000000000e+00   2.192303475229e+02  -4.425988369052e-06   1.142217903441e-02   4.973508412078e-08   1.670530526000e-05   1.739728518725e-08   1.590816694941e-02  -8.353058224559e-07  -1.159227383537e+03  -3.778246562966e-09   7.071414695203e-01  -2.227622641397e-08  -7.070720911510e-01   8.999727115951e+01
  3.100000000000e+00   2.191786044517e+02  -4.651646721604e-06   1.143626327265e-02   5.387046081254e-08   1.707536471448e-05   1.710305737009e-08   1.693444574942e-02  -9.737039260591e-07  -1.181147844944e+03  -4.999666563870e-09   7.071420667273e-01  -2.471786674086e-08  -7.070714938849e-01   8.999717697552e+01
  3.200000000000e+00   2.191252064314e+02  -4.861287897379e-06   1.145126972430e-02   5.798715066487e-08   1.742115305152e-05   1.671102015171e-08   1.799616083779e-02  -1.127639171539e-06  -1.203063049273e+03  -6.379237003067e-09   7.071426765845e-01  -2.729331610682e-08  -7.070708839663e-01   8.999708097862e+01
  3.300000000000e+00   2.190701561078e+02  -5.053273043820e-06   1.146657012765e-02   6.205034457706e-08   1.774378235245e-05   1.623284616632e-08   1.909397483941e-02  -1.297917722127e-06  -1.224972831160e+03  -7.918935803227e-09   7.071432982533e-01  -2.999804029492e-08  -7.070702622339e-01   8.999698314953e+01
  3.400000000000e+00   2.190134561294e+02  -5.226280802487e-06   1.148159492948e-02   6.602620533524e-08   1.804445821623e-05   1.568151759032e-08   2.022855814921e-02  -1.485305325366e-06  -1.246877025509e+03  -9.619088822773e-09   7.071439309358e-01  -3.282672656920e-08  -7.070696294854e-01   8.999688347674e+01
  3.500000000000e+00   2.189551091472e+02  -5.379323608182e-06   1.149583183296e-02   6.988246203844e-08   1.832445968084e-05   1.507102331591e-08   2.140058578824e-02  -1.690523305213e-06  -1.268775467485e+03  -1.147837386189e-08   7.071445738784e-01  -3.577336964248e-08  -7.070689864747e-01   8.999678195463e+01
  3.600000000000e+00   2.188951178152e+02  -5.511756780118e-06   1.150882401135e-02   7.358895995219e-08   1.858512068055e-05   1.441604820788e-08   2.261073458340e-02  -1.914245462844e-06  -1.290667992522e+03  -1.349385579714e-08   7.071452263735e-01  -3.883136703600e-08  -7.070683339092e-01   8.999667858491e+01
  3.700000000000e+00   2.188334847904e+02  -5.623280515805e-06   1.152016803878e-02   7.711815556298e-08   1.882781303268e-05   1.373166139011e-08   2.385968066076e-02  -2.157095916871e-06  -1.312554436317e+03  -1.566105123953e-08   7.071458877616e-01  -4.199362191316e-08  -7.070676724485e-01   8.999657337375e+01
  3.800000000000e+00   2.187702127331e+02  -5.713935043940e-06   1.152951158633e-02   8.044554827013e-08   1.905393093484e-05   1.303301014663e-08   2.514809724027e-02  -2.419647894051e-06  -1.334434634833e+03  -1.797402053875e-08   7.071465574320e-01  -4.525265137685e-08  -7.070670027035e-01   8.999646633164e+01
  3.900000000000e+00   2.187053043071e+02  -5.784089324675e-06   1.153655092859e-02   8.355004191377e-08   1.926487694239e-05   1.233502554445e-08   2.647665271883e-02  -2.702423462587e-06  -1.356308424300e+03  -2.042548445978e-08   7.071472348234e-01  -4.860069817265e-08  -7.070663252352e-01   8.999635747412e+01
